name,brand,categories,primaryCategories,reviews.date,reviews.text,reviews.title,processed_text,sentiment_score
"Fire Tablet, 7 Display, Wi-Fi, 16 GB - Includes Special Offers, Black",Amazon,"Fire Tablets,Computers/Tablets & Networking,Tablets,All Tablets,Amazon Tablets,Frys,Computers & Tablets,Tablets & eBook Readers",Electronics,2016-05-23 00:00:00+00:00,amazon kindle fire has a lot of free app and can be used by any one that wants to get online anywhere,very handy device,amazon kindle fire lot free app used one want get online anywhere,0
"Amazon Echo Show Alexa-enabled Bluetooth Speaker with 7"" Screen",Amazon,"Computers,Amazon Echo,Virtual Assistant Speakers,Audio & Video Components,Electronics Features,Computer Accessories,Home & Tools,See more Amazon Echo Show Smart Assistant - White,Smart Home Automation,Electronics,TVs Entertainment,Speakers,Smart Hub & Kits,Digital Device 3,Consumer Electronics,Wireless Speakers,Home Improvement,Amazon Home,Amazon,Computer Speakers,Voice-Enabled Smart Assistants","Electronics,Hardware",2018-01-02 00:00:00+00:00,"the echo show is a great addition to the amazon family. works just like the echo, but with a 7"" screen. bright vibrant display. rich clear sound. works great with arlo security cameras. excellent smart home addition. just hope google and amazon start playing nice with each other soon so youtube will work again.",another winner from amazon,echo show great addition amazon family work like echo screen bright vibrant display rich clear sound work great arlo security camera excellent smart home addition hope google amazon start playing nice soon youtube work,2
"All-New Fire HD 8 Tablet, 8"" HD Display, Wi-Fi, 16 GB - Includes Special Offers, Magenta",Amazon,"Electronics,iPad & Tablets,All Tablets,Fire Tablets,Tablets,Computers & Tablets",Electronics,2017-01-02 00:00:00+00:00,great value from best buy. bought at christmas sale.,simple to use and reliable so far,great value best buy bought christmas sale,1
"Brand New Amazon Kindle Fire 16gb 7"" Ips Display Tablet Wifi 16 Gb Blue",Amazon,"Computers/Tablets & Networking,Tablets & eBook Readers,Computers & Tablets,Tablets,All Tablets",Electronics,2017-03-25 00:00:00+00:00,"i use mine for email, facebook ,games and to go on line. i also have down loaded books. i use it to take photos. it is small and be taken easily. i would recommend it to anyone .",love it!!!,use mine email facebook game go line also loaded book use take photo small taken easily would recommend anyone,0
"Amazon Echo Show Alexa-enabled Bluetooth Speaker with 7"" Screen",Amazon,"Computers,Amazon Echo,Virtual Assistant Speakers,Audio & Video Components,Electronics Features,Computer Accessories,Home & Tools,See more Amazon Echo Show Smart Assistant - White,Smart Home Automation,Electronics,TVs Entertainment,Speakers,Smart Hub & Kits,Digital Device 3,Consumer Electronics,Wireless Speakers,Home Improvement,Amazon Home,Amazon,Computer Speakers,Voice-Enabled Smart Assistants","Electronics,Hardware",2017-11-15 00:00:00+00:00,this is a fantastic item & the person i bought it for loves it.,fantastic!,fantastic item person bought love,1
"Brand New Amazon Kindle Fire 16gb 7"" Ips Display Tablet Wifi 16 Gb Blue",Amazon,"Computers/Tablets & Networking,Tablets & eBook Readers,Computers & Tablets,Tablets,All Tablets",Electronics,2017-01-24 00:00:00+00:00,this is a great devise for reading books or taking photos. best buy associate was very helpful.,book reader,great devise reading book taking photo best buy associate helpful,1
Amazon - Echo Plus w/ Built-In Hub - Silver,Amazon,"Amazon Echo,Smart Home,Networking,Home & Tools,Home Improvement,Smart Home Automation,Voice Assistants,Amazon Home,Amazon,Smart Hub & Kits,Digital Device 3","Electronics,Hardware",2017-12-22 00:00:00+00:00,i have enjoyed learning about home automation using echo plus and consumers need to know that this comes with having to buy additional equipment to get the most out of alexa.,first experience with alexa,enjoyed learning home automation using echo plus consumer need know come buy additional equipment get alexa,0
"All-New Fire HD 8 Tablet, 8"" HD Display, Wi-Fi, 16 GB - Includes Special Offers, Magenta",Amazon,"Electronics,iPad & Tablets,All Tablets,Fire Tablets,Tablets,Computers & Tablets",Electronics,2017-01-06 00:00:00+00:00,"nice size, very clear but randomly shuts off. cant remove unwanted apps from the home screen. if you watch video..it buffers alot and laggs.",great size,nice size clear randomly shuts cant remove unwanted apps home screen watch video buffer alot laggs,0
Amazon - Echo Plus w/ Built-In Hub - Silver,Amazon,"Amazon Echo,Smart Home,Networking,Home & Tools,Home Improvement,Smart Home Automation,Voice Assistants,Amazon Home,Amazon,Smart Hub & Kits,Digital Device 3","Electronics,Hardware",2017-12-01 00:00:00+00:00,awesome product and cool design and a great color i would recommend to a friend,great gift,awesome product cool design great color would recommend friend,2
"All-New Fire HD 8 Tablet, 8 HD Display, Wi-Fi, 16 GB - Includes Special Offers, Blue",Amazon,"Fire Tablets,Tablets,All Tablets,Amazon Tablets",Electronics,2017-04-02 00:00:00+00:00,love my mine! works great with prime! and i have all my best movies!,great,love mine work great prime best movie,2
"All-New Fire HD 8 Tablet, 8"" HD Display, Wi-Fi, 16 GB - Includes Special Offers, Magenta",Amazon,"Electronics,iPad & Tablets,All Tablets,Fire Tablets,Tablets,Computers & Tablets",Electronics,2017-05-20 00:00:00+00:00,our daughter loves her new tablet. it has a bigger screen more features and she just enjoys being on it. the kindle is priced right and is easy to use. she was able to get her apps transferred to her new tablet in no time. great investment.,great product,daughter love new tablet bigger screen feature enjoys kindle priced right easy use able get apps transferred new tablet time great investment,2
"All-New Fire HD 8 Tablet, 8"" HD Display, Wi-Fi, 16 GB - Includes Special Offers, Magenta",Amazon,"Electronics,iPad & Tablets,All Tablets,Fire Tablets,Tablets,Computers & Tablets",Electronics,2016-11-26 00:00:00+00:00,this a great tablet for everyone. plenty of memory for downloading. great features all around.,great tablet for the whole family,great tablet everyone plenty memory downloading great feature around,1
"Amazon Echo Show Alexa-enabled Bluetooth Speaker with 7"" Screen",Amazon,"Computers,Amazon Echo,Virtual Assistant Speakers,Audio & Video Components,Electronics Features,Computer Accessories,Home & Tools,See more Amazon Echo Show Smart Assistant - White,Smart Home Automation,Electronics,TVs Entertainment,Speakers,Smart Hub & Kits,Digital Device 3,Consumer Electronics,Wireless Speakers,Home Improvement,Amazon Home,Amazon,Computer Speakers,Voice-Enabled Smart Assistants","Electronics,Hardware",2017-12-22 00:00:00+00:00,"as good as echo, with added visuals can be usefuland fun",well made,good echo added visuals usefuland fun,1
